base	derivative	probability	sublexicon	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	F: Ident [front]	F: Ident [rounded]	F: Ident [low]	F: Ident [high]
m a n t r a	m a n t r a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
m a k s u	m a k s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
r oi kk u	r oi kk u B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
r i k o s	r i k o s B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
m o d i t	m o d i t B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
ai e	ai e B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
s uo r a	s uo r a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0	0	0	0	4	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0
k a s t e	k a s t e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
p ai n e	p ai n e B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
k a j o	k a j o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
k a t o s	k a t o s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
j u pp i	j u pp i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
k o r tt i	k o r tt i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
p u r s u	p u r s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
p au n a	p au n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
l i m u	l i m u B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
a l b a	a l b a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
i r t ai n	i r t ai n B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	2	0	2	2	0	0	2	2	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	0	0	0	0
