base	derivative	probability	sublexicon	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	F: Ident [front]	F: Ident [rounded]	F: Ident [low]	F: Ident [high]
k ui l u	k ui l u B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	1	0	1	1	0	0	1	3	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	0	0	0	0
r a tt i	r a tt i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
s uo n i	s uo n i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
m o k a	m o k a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
i s o	i s o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
v a s u	v a s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
m u r o	m u r o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
a s k e l	a s k e l B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
t oi n e n	t oi n e n B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	1	0	0	1	1	0	1	2	1	1	0	2	1	2	2	3	2	0	2	1	1	0	2	2	1	0	0	1	1	0	1	2	1	1	0	2	1	2	2	3	0	0	0	0
p i h a	p i h a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
aa t e	aa t e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	0	2	0	2	0	0	0	3	0	3	2	1	0	3	1	1	1	0	1	0	1	0	1	3	0	2	0	2	0	0	0	3	0	3	2	1	0	3	1	1	0	0	0	0
v e r t a	v e r t a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
m o a	m o a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
l aa v u	l aa v u B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
k a r h eu s	k a r h eu s B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	1	1	1	1	1	1	0	2	0	2	1	1	1	2	1	2	1	0	1	0	1	0	1	3	1	1	1	1	1	1	0	2	0	2	1	1	1	2	1	2	0	0	0	0
m e r s u	m e r s u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
t u tt i	t u tt i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
f u t i s	f u t i s B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
t o r u	t o r u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
p a l v i	p a l v i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
uu t o s	uu t o s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	0	4	3	0	2	1	3	2	1	0	0	0	0	0	2	1	1	3	0	0	0	0
a h v e n	a h v e n B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
r i pp au s	r i pp au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	1	0	1	1	0	0	1	3	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0	2	0	0	0	0
k uo s i	k uo s i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	1	0	1	1	0	0	1	3	2	0	1	1	2	1	1	1	1	0	0	1	2	1	1	3	0	0	0	0
a g a	a g a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
t ai m e n	t ai m e n B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
s ee p r a	s ee p r a B	1	Insert [B] at -1	2	0	2	0	2	0	2	1	0	1	0	1	0	0	0	3	0	3	1	2	0	3	2	2	2	0	2	0	2	0	2	2	0	1	0	1	0	0	0	3	0	3	1	2	0	3	2	2	0	0	0	0
k ui v au s	k ui v au s B	1	Insert [B] at -1	1	0	1	1	0	0	1	3	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	1	0	1	1	0	0	1	4	2	1	2	1	2	2	0	2	1	1	1	1	3	1	0	3	0	0	0	0
l aa t u	l aa t u B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
l y n kk au s	l y n kk au s B	1	Insert [B] at -1	1	1	0	1	0	0	1	2	1	1	1	1	2	2	0	1	0	1	1	0	2	1	0	2	1	1	0	1	0	0	1	3	1	1	1	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
s ui h k e	s ui h k e B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	1	0	1	0	1	1	0	2	1	1	0	2	2	1	1	3	2	0	2	1	1	0	2	2	1	0	1	0	1	1	0	2	1	1	0	2	2	1	1	3	0	0	0	0
v oi m a	v oi m a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
p r o ff a	p r o ff a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
r uu m a	r uu m a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	4	2	1	2	1	2	2	0	1	0	1	1	0	2	1	0	2	0	0	0	0
i n f o	i n f o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
k o m i	k o m i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
t o n kk a	t o n kk a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
m uu m i	m uu m i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	1	0	1	1	0	0	1	3	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	0	0	0	0
l au d e	l au d e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	1	1	1	1	1	1	0	2	0	2	1	1	1	2	1	2	1	0	1	0	1	0	1	3	1	1	1	1	1	1	0	2	0	2	1	1	1	2	1	2	0	0	0	0
k a ll e	k a ll e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
h ai tt a	h ai tt a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
o h j ai n	o h j ai n B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
p ii s k a	p ii s k a B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	2	0	2	2	0	0	2	2	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	0	0	0	0
s a k u	s a k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
v uo d e	v uo d e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	1	0	1	0	1	0	1	3	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	0	0	0	0
d uu n i	d uu n i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	1	0	1	1	0	0	1	3	2	0	2	0	2	2	0	1	1	0	0	1	3	0	0	3	0	0	0	0
p a m pp u	p a m pp u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
l e p o	l e p o B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
l uo t au s	l uo t au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	4	3	1	2	2	3	2	1	1	0	1	1	0	2	2	1	3	0	0	0	0	0	0	0	5	3	1	2	2	3	2	1	1	0	1	1	0	2	2	1	3	0	0	0	0
m ie kk a	m ie kk a B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
s a h o	s a h o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
r a t s u	r a t s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
a k n e	a k n e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
s u n d a	s u n d a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
g l a m ou r	g l a m ou r B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0	0	0	0	4	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0
k v a r t s i	k v a r t s i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
b aa n a	b aa n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0
r e ss u	r e ss u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
l uo nn e	l uo nn e B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	1	0	1	0	1	0	1	3	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	0	0	0	0
aa p a	aa p a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0
l e t k u	l e t k u B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
i v a	i v a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k o r s u	k o r s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
n a k u	n a k u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k uo r s au s	k uo r s au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	4	3	1	2	2	3	2	1	1	0	1	1	0	2	2	1	3	0	0	0	0	0	0	0	5	3	1	2	2	3	2	1	1	0	1	1	0	2	2	1	3	0	0	0	0
k o j u	k o j u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
n ai l o n	n ai l o n B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	1	0	1	1	0	0	1	3	1	1	0	2	1	0	1	2	1	1	1	1	1	2	1	2	0	0	0	0
j uo p a	j uo p a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0	0	0	0	4	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0
j a rr u	j a rr u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k a l m a	k a l m a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
b oo t s i	b oo t s i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	2	0	0	2	2	0	2	1	1	0	0	1	1	2	2	3	1	0	1	1	0	0	1	3	2	0	0	2	2	0	2	1	1	0	0	1	1	2	2	3	0	0	0	0
l u k s u s	l u k s u s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	2	0	2	0	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
s a l m i	s a l m i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
t ai j i	t ai j i B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	2	0	2	2	0	0	2	2	0	1	0	1	0	0	0	3	2	1	1	2	2	1	0	2	0	0	0	0
h u rr aa	h u rr aa B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
l a mm a s	l a mm a s B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
k ii l t o	k ii l t o B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	1	0	0	1	1	0	1	2	2	0	0	2	2	1	1	3	2	0	2	2	0	0	2	2	1	0	0	1	1	0	1	2	2	0	0	2	2	1	1	3	0	0	0	0
p a ll a	p a ll a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
t o ss u	t o ss u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
s ii r t o	s ii r t o B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	1	0	0	1	1	0	1	2	2	0	0	2	2	1	1	3	2	0	2	2	0	0	2	2	1	0	0	1	1	0	1	2	2	0	0	2	2	1	1	3	0	0	0	0
l a t i	l a t i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
m e r t a	m e r t a B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
p u t k a	p u t k a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
k a m p au s	k a m p au s B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
p ie nn a r	p ie nn a r B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
m o l o	m o l o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	3	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0
r ai pp a	r ai pp a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
n eu kk u	n eu kk u B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	2	0	2	2	0	1	0	1	0	1	2	1	1	3	1	0	1	0	1	0	1	3	2	0	2	0	2	2	0	1	0	1	0	1	2	1	1	3	0	0	0	0
k o pp i	k o pp i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
l uo n t o	l uo n t o B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	3	0	1	2	3	1	2	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0	0	4	3	0	1	2	3	1	2	0	0	0	0	0	1	2	2	3	0	0	0	0
s aa r n a	s aa r n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	4	0	3	0	3	0	0	0	3	0	3	3	0	0	3	0	0	0	0	0	0
k o s t eu s	k o s t eu s B	1	Insert [B] at -1	1	0	1	0	1	0	1	2	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	1	0	1	0	1	0	1	3	2	0	1	1	2	1	1	1	0	1	0	1	1	2	2	3	0	0	0	0
o r i	o r i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
g r a mm a	g r a mm a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0
s u nn a	s u nn a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0
t ai v e	t ai v e B	1	Insert [B] at -1	2	0	2	1	1	0	2	1	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	2	0	2	1	1	0	2	2	0	1	0	1	0	0	0	3	1	2	1	2	1	2	1	2	0	0	0	0
o k r a	o k r a B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
g r a p e	g r a p e B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	1	0	1	0	1	0	1	2	0	1	0	1	0	0	0	2	0	2	1	1	0	2	1	1	0	0	0	0
t ai t a	t ai t a B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
t o r s o	t o r s o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	3	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0
k uo l a	k uo l a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0	0	0	0	4	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0
v i r k a	v i r k a B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
s i k s a k	s i k s a k B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
k l a pp i	k l a pp i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	2	1	1	1	1	1	1	0	1	0	0	0	0
